gene,p_val,avg_log2FC,padj
TRIM72,0.0294938206082039,-1.1242441149757,NA
CRLF1,0.0241313203438493,-1.12374375801016,0.220302312449452
AP002762.2,0.0008223174813919,-1.12239262962095,0.0506992521147262
CA1,0.0054740020409074,-1.1210364116671,0.113928854037522
SHANK2-AS1,0.0022383648146265,-1.12074794987403,0.0790536197860526
AC009142.1,0.0490049749748189,-1.12058031865915,NA
AL357054.5,0.007453307633925,-1.12027724579047,0.131250072429542
EVA1A,0.0630637381224335,-1.11982639195995,0.332812112161656
AP001033.3,0.0168824498844193,-1.11818226416091,NA
OPA1-AS1,0.0411957637865652,-1.11810498181075,0.278500689241282
F11-AS1,0.0086044257257325,-1.11721909569841,0.142245616474163
NKPD1,0.0089585740413481,-1.11414740825727,0.14452384883393
SPINK13,0.0473010862016782,-1.11247371038862,0.296429253320889
PANO1,0.0277302548856552,-1.11235284759704,0.232957432900817
DLGAP1-AS5,0.0029251910315955,-1.11234717074699,0.0880436080748196
AC073571.1,0.0044532602264025,-1.11202393627079,0.104052293308501
LRIT3,0.0032686174357462,-1.11131654649244,0.0918017467952247
AL136298.1,0.0046402910536038,-1.10800428128284,0.105612085762365
AL391097.1,0.0303104760141495,-1.10685169623077,0.242281731595815
AC011503.1,0.0124617121602806,-1.10682034518962,0.169832099940599
AC018557.3,0.0102047207370371,-1.1062030520238,0.151831063990809
AC110015.1,0.029486815081387,-1.10583000601881,0.23917980693696
CREB3L1,0.0001614949994846,-1.10538780640047,0.0259174318873759
AL353784.1,0.0191687654687374,-1.10354631906611,0.203768411621789
AC117834.1,0.0019593529607463,-1.1028372267274,0.0753722892143522
ARMS2,0.0432369534780826,-1.10256891853303,0.283464993978849
AC119150.1,0.0092756354251283,-1.10153152513573,0.1464397932895
GUCY2C,0.015558046762157,-1.10026448254033,0.187759827751433
LACTB2-AS1,0.0101694213943387,-1.09747275863839,0.151681933191615
GTSCR1,0.0478254502933384,-1.0973535853561,0.297959927819611
IGSF6,0.0184266114252116,-1.09693824428575,0.200443677032075
AC019130.1,0.0020731624242915,-1.09656380789028,0.0766388975862858
AC026991.2,0.0029009821163515,-1.09631186375177,0.087775430320465
WDFY3-AS1,0.0113606736972912,-1.09619785568545,0.160791044475106
EXOC3L2,0.0565931801377621,-1.09605353409654,NA
RAC2,0.0759090778545899,-1.09581773236777,NA
AL022323.4,0.0039359108310413,-1.095812187714,0.0982776736355579
LINC01561,0.0004933474290296,-1.09479732661273,0.0396505971643765
LMO7-AS1,0.003031928026351,-1.0944106790009,0.0886370315679525
LINC02456,0.001851095942804,-1.09297092061949,0.0738919739651896
TTC3-AS1,0.015848181435467,-1.09241574176822,0.188973939038663
P4HA3,0.0003677016845948,-1.09238121082705,0.0346582901977003
